category,test_images,classes,accuracy,precision_macro,recall_macro,f1_macro
bottle,11,3,0.6363636363636364,0.5,0.5833333333333334,0.5079365079365079
cable,21,8,0.38095238095238093,0.3402777777777778,0.35416666666666663,0.3214285714285714
capsule,19,5,0.2631578947368421,0.1822222222222222,0.26666666666666666,0.2141025641025641
carpet,20,5,0.5,0.5222222222222221,0.5,0.4754578754578754
grid,15,5,0.4,0.24166666666666664,0.39999999999999997,0.29004329004329
hazelnut,16,4,0.625,0.6666666666666666,0.625,0.6000000000000001
leather,20,5,0.4,0.3,0.4,0.3142857142857143
metal_nut,17,4,0.47058823529411764,0.4375,0.4625,0.44886363636363635
pill,29,7,0.20689655172413793,0.10952380952380951,0.17142857142857143,0.12298136645962732
screw,23,5,0.17391304347826086,0.1641025641025641,0.19,0.14420168067226888
tile,18,5,0.8333333333333334,0.8533333333333333,0.8333333333333334,0.8166666666666667
toothbrush,5,1,1.0,1.0,1.0,1.0
transistor,8,4,0.25,0.1875,0.25,0.20833333333333331
wood,13,5,0.23076923076923078,0.11111111111111112,0.2,0.14153846153846156
zipper,25,7,0.04,0.014285714285714287,0.047619047619047616,0.02197802197802198
