category,actual_class,predicted_class,confused_images
bottle,broken_large,broken_small,3
bottle,contamination,broken_small,1
cable,bent_wire,combined,1
cable,cable_swap,combined,1
cable,combined,cable_swap,1
cable,combined,missing_cable,1
cable,cut_inner_insulation,bent_wire,3
cable,cut_outer_insulation,bent_wire,1
cable,missing_cable,missing_wire,1
cable,missing_wire,bent_wire,1
cable,missing_wire,cable_swap,1
cable,poke_insulation,bent_wire,2
capsule,crack,poke,3
capsule,crack,scratch,1
capsule,faulty_imprint,poke,2
capsule,faulty_imprint,scratch,1
capsule,faulty_imprint,squeeze,1
capsule,poke,squeeze,3
capsule,scratch,poke,1
capsule,squeeze,poke,2
carpet,color,hole,1
carpet,color,thread,2
carpet,cut,thread,2
carpet,hole,color,1
carpet,hole,cut,1
carpet,hole,metal_contamination,1
carpet,metal_contamination,hole,1
carpet,metal_contamination,thread,1
grid,bent,glue,2
grid,bent,metal_contamination,1
grid,broken,glue,1
grid,metal_contamination,broken,1
grid,metal_contamination,glue,1
grid,thread,broken,1
grid,thread,glue,1
grid,thread,metal_contamination,1
hazelnut,crack,hole,2
hazelnut,crack,print,1
hazelnut,cut,crack,1
hazelnut,cut,hole,1
hazelnut,hole,print,1
leather,color,glue,2
leather,cut,glue,4
leather,fold,color,1
leather,fold,glue,1
leather,fold,poke,2
leather,poke,cut,1
leather,poke,glue,1
metal_nut,bent,color,1
metal_nut,bent,scratch,1
metal_nut,color,bent,1
metal_nut,color,scratch,2
metal_nut,scratch,bent,2
metal_nut,scratch,color,2
pill,color,crack,2
pill,color,scratch,1
pill,combined,crack,3
pill,combined,scratch,1
pill,contamination,color,1
pill,contamination,crack,3
pill,crack,color,1
pill,crack,scratch,1
pill,faulty_imprint,crack,3
pill,faulty_imprint,scratch,1
pill,pill_type,color,1
pill,pill_type,crack,1
pill,scratch,crack,3
pill,scratch,faulty_imprint,1
screw,manipulated_front,thread_side,2
screw,manipulated_front,thread_top,3
screw,scratch_head,scratch_neck,1
screw,scratch_head,thread_side,2
screw,scratch_head,thread_top,1
screw,scratch_neck,thread_side,5
screw,thread_side,scratch_neck,1
screw,thread_side,thread_top,1
screw,thread_top,scratch_head,1
screw,thread_top,thread_side,2
tile,glue_strip,gray_stroke,1
tile,glue_strip,rough,1
tile,rough,gray_stroke,1
transistor,bent_lead,damaged_case,2
transistor,cut_lead,damaged_case,1
transistor,cut_lead,misplaced,1
transistor,damaged_case,bent_lead,1
transistor,misplaced,bent_lead,1
wood,color,hole,1
wood,color,scratch,1
wood,combined,scratch,3
wood,hole,scratch,2
wood,liquid,scratch,1
wood,scratch,liquid,2
zipper,broken_teeth,combined,1
zipper,broken_teeth,fabric_interior,1
zipper,broken_teeth,rough,1
zipper,broken_teeth,squeezed_teeth,1
zipper,combined,broken_teeth,1
zipper,combined,fabric_interior,1
zipper,fabric_border,combined,1
zipper,fabric_border,fabric_interior,3
zipper,fabric_interior,broken_teeth,1
zipper,fabric_interior,combined,1
zipper,fabric_interior,rough,1
zipper,rough,broken_teeth,2
zipper,rough,combined,2
zipper,split_teeth,combined,2
zipper,split_teeth,fabric_interior,1
zipper,split_teeth,rough,1
zipper,squeezed_teeth,combined,2
zipper,squeezed_teeth,fabric_interior,1
