category,status,precision,recall,map50,map50_95,f1
bottle,SUCCESS,1.0,0.9883,0.995,0.8275,0.9941155761203038
cable,SUCCESS,0.6391,0.2222,0.2368,0.0868,0.32975274584929765
capsule,SUCCESS,0.5629,0.4444,0.4475,0.2,0.4966797577682915
carpet,SUCCESS,0.8481,0.1429,0.4939,0.1954,0.2445882744702321
grid,SUCCESS,0.5506,0.4667,0.441,0.1939,0.5051902486975326
hazelnut,SUCCESS,1.0,0.649,0.7578,0.481,0.7871437234687689
leather,SUCCESS,0.7592,0.7143,0.7256,0.2868,0.7360659110960299
metal_nut,SUCCESS,0.6999,0.5926,0.6476,0.425,0.6417961160541586
pill,SUCCESS,0.6988,0.887,0.825,0.5047,0.7817323748265861
screw,SUCCESS,0.9997,0.4,0.4497,0.2578,0.5713795813388582
tile,SUCCESS,0.855,0.4547,0.5774,0.2836,0.5936756509124227
toothbrush,SUCCESS,0.004,0.6,0.0162,0.0076,0.007947019867549669
transistor,SUCCESS,0.015,0.1429,0.1546,0.0543,0.027150094996833442
wood,SUCCESS,0.7527,0.9091,0.9095,0.5563,0.8235402214466242
zipper,SUCCESS,1.0,0.9813,0.995,0.5425,0.9905617523847978
